Samples0,Samples1,Samples2,Samples3,Conditions,DifferentiationA,DifferentiationB,DifferentiationC,FP,Fp,fP,fp,Fm1,P,FT,Ft,fT,ft,FTtip,Fm2,T,IC,Ic,iC,ic,I,C,CD45CD93,CD45cd93,cd45CD93,cd45cd93,CD45,CD93,CD45H,CD45M,PDGFRABRelax,PDGFRABNormal,PDGFRABStrict,PDGFRA,PDGFRB,CD71,CD41,CD41H,CD41MH,CD41CD71L,CD41CD71LA,CD41cD71,CD71cd41,CD41cd71
Samples0,Samples1,Samples2,Samples3,Conditions,DifferentiationA,DifferentiationB,DifferentiationC,Flk1+ Pdgfra+,Flk1+ Pdgfra-,Flk1- Pdgfra+ (Day4),Flk1- Pdgfra-,Flk1+ (I),Pdgfra+,Flk1+ Tek+,Flk1+ Tek-,Flk1- Tek+,Flk1- Tek-,Flk1+ Tek+ (I),Flk1+ (II),Tek+,Icam2+ Cdh5+,Icam2+ Cdh5-,Icam2- Cdh5+,Icam2- Cdh5-,Icam2+,Cdh5+,CD45+ CD93+,CD45+ CD93-,CD45- CD93+,CD45- CD93-,CD45+,CD93+,CD45+ (II),CD45+ (I),Pdgfra+ Pdgfrab+ (I),Pdgfra+ Pdgfrab+ (II),Pdgfra+ Pdgfrab+ (III),Pdgfra+ (Day7),Pdgfrb+,CD71+,CD41+,CD41+ (I),CD41+ (II),CD41+ CD71+ (L),CD41+ CD71+ (LA),CD41+ CD71,CD71+ CD41-,CD41+ CD71-
,,,,,,,,D4: Flk1/Pdgfra,D4: Flk1/Pdgfra,D4: Flk1/Pdgfra,D4: Flk1/Pdgfra,D4: Flk1/Pdgfra,D4: Flk1/Pdgfra,D4: Flk1/Tek,D4: Flk1/Tek,D4: Flk1/Tek,D4: Flk1/Tek,D4: Flk1/Tek,D4: Flk1/Tek,D4: Flk1/Tek,Day7: Icam2/Cdh5,Day7: Icam2/Cdh5,Day7: Icam2/Cdh5,Day7: Icam2/Cdh5,Day7: Icam2/Cdh5,Day7: Icam2/Cdh5,Day7: CD45/CD93,Day7: CD45/CD93,Day7: CD45/CD93,Day7: CD45/CD93,Day7: CD45/CD93,Day7: CD45/CD93,Day7: CD45/CD93,Day7: CD45/CD93,Day7: Pdgfra/Pdgfrb,Day7: Pdgfra/Pdgfrb,Day7: Pdgfra/Pdgfrb,Day7: Pdgfra/Pdgfrb,Day7: Pdgfra/Pdgfrb,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71,Day7: CD41/CD71
Bcl6b_bA12,Bcl6b c1,Bcl6b KO Clone 1,Bcl6b KO c1,Bcl6b KO,Differentiation 1,diff. 1,Diff. 1,11.1,3.34,20,65.6,15.1,30,13.2,0.056,86.5,0.28,0.13,13.2,99.6,2.38,0.81,0.38,96.4,3.17,2.71,0.027,0.35,0.56,99.1,0.37,0.59,0.23,0.15,21,13.4,2.62,27.7,16.1,NA,3.61,1.17,2.44,NA,NA,NA,NA,NA
Bcl6b_bB7,Bcl6b c2,Bcl6b KO Clone 2,Bcl6b KO c2,Bcl6b KO,Differentiation 1,diff. 1,Diff. 1,34.5,36.7,13,15.8,73.7,47.2,14.7,48.9,6.77,29.5,0.51,63.7,20.7,2.07,0.65,3.22,94.1,2.72,5.18,0.0089,3.78,0.48,95.7,3.77,0.49,3.18,0.64,68.4,64.1,54.3,69.3,66.6,NA,11,2.41,8.63,NA,NA,NA,NA,NA
Bcl6b_bC8,Bcl6b c3,Bcl6b KO Clone 3,Bcl6b KO c3,Bcl6b KO,Differentiation 1,diff. 1,Diff. 1,28.1,39.6,10.5,21.8,69.9,38.2,13.2,49.2,6.05,31.5,0.69,62.4,18.5,1.73,0.36,2.38,95.5,2.1,4.07,0.024,2.3,0.71,97,2.3,0.73,1.77,0.58,78.8,74.4,61.3,78.5,77,NA,6.08,1.65,4.42,NA,NA,NA,NA,NA
Bcl6b_bC3,Bcl6b c4,Bcl6b KO Clone 4,Bcl6b KO c4,Bcl6b KO,Differentiation 1,diff. 1,Diff. 1,33.4,40.8,8.81,16.9,76.5,41.8,11.6,56.2,4.96,27.3,0.56,67.7,15.8,2.17,0.83,4.1,92.9,2.99,6.15,0.021,3.89,0.69,95.4,3.86,0.71,3.13,0.8,66.9,60.2,49,65.1,65,NA,11.6,3.33,8.29,NA,NA,NA,NA,NA
NT_ntZA5,NT c1,NT WT Clone 1,NT WT c1,NT WT,Differentiation 1,diff. 1,Diff. 1,36.1,35,7.43,21.5,72.9,43.2,17.5,49.7,5.06,27.7,0.84,67.2,21.6,1.08,0.63,1.87,96.4,1.7,2.91,0.00939,2.26,0.52,97.2,2.24,0.53,1.79,0.49,72.6,67.5,53.2,71.3,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
NT_ntZA3,NT c2,NT WT Clone 2,NT WT c2,NT WT,Differentiation 1,diff. 1,Diff. 1,30.6,38.7,8.02,22.7,71.3,38.3,12,52.1,4.05,31.9,0.65,64.1,15.3,0.5,0.39,2.33,96.8,0.89,2.79,0.032,2.56,0.33,97.1,2.58,0.36,2.23,0.38,62.3,57.1,45.5,61.1,60.8,NA,10.9,3.44,7.43,NA,NA,NA,NA,NA
NT_ntZA2,NT c3,NT WT Clone 3,NT WT c3,NT WT,Differentiation 1,diff. 1,Diff. 1,31.8,36.3,6.79,25.1,69.5,38.2,13.9,51,3.05,32.1,1.21,64.9,16.2,0.7,0.58,2.04,96.7,1.27,2.68,0.016,2.71,0.47,96.8,2.7,0.49,2.2,0.57,62.5,55,34.2,61.2,59.4,NA,16.1,4.14,11.9,NA,NA,NA,NA,NA
NT_ntTA5,NT c4,NT WT Clone 4,NT WT c4,NT WT,Differentiation 1,diff. 1,Diff. 1,28.4,33.4,7.43,30.7,63.4,35.4,10.8,47.9,1.88,39.4,0.88,58.7,12.2,1.15,0.65,2.9,95.3,1.79,3.97,0.013,2.7,0.72,96.6,2.72,0.73,2.15,0.59,51.4,45.4,31.6,50.4,49.5,NA,15.6,5.09,10.5,NA,NA,NA,NA,NA
NT_ntTA4,NT c5,NT WT Clone 5,NT WT c5,NT WT,Differentiation 1,diff. 1,Diff. 1,27.7,38.3,9.55,24.4,67.9,36.9,13.7,47.6,5.01,33.7,0.71,61.3,18,1.21,0.33,2.36,96.1,1.52,3.51,0.021,2.11,0.82,97.1,2.09,0.84,1.63,0.54,71.1,67.1,54.4,70.8,70.1,NA,8.1,2.39,5.71,NA,NA,NA,NA,NA
NT_ntTA1,NT c6,NT WT Clone 6,NT WT c6,NT WT,Differentiation 1,diff. 1,Diff. 1,36.4,34.1,11.8,17.7,72.3,47.8,15.4,50,5.18,29.4,0.68,65.4,19.8,1.79,0.37,2.21,95.6,2.16,3.94,0.065,2.78,1.21,95.9,2.82,1.27,2.37,0.49,68.4,63.3,49.8,68.4,67.2,NA,11.3,2.97,8.37,NA,NA,NA,NA,NA
